CommodityId,Commodity
1,BAJRI
2,WHEAT_HUSKED
3,SORGUM_JAWAR
4,MAIZE
5,GRAM
6,HORSE_GRAM
7,MATKI
8,PIGEON_PEA_TUR
9,BLACK_GRAM
10,CASTOR_SEED
11,SOYBEAN
12,JAGGERY
13,LEMON
14,GINGER_FRESH
15,POTATO
16,LADIES_FINGER
17,FLOWER
18,CARROT
19,CLUSTER_BEAN
20,GHEVDA
21,GHOSALI_BHAJI
22,MANGO_RAW
23,CUCUMBER
24,ONION
25,BITTER_GOURD
26,CABBAGE
27,GARLIC
28,MATH_BHAJI
29,CAPSICUM
30,TOMATO
31,BRINJAL
32,TAMARIND
33,TAMARIND_SEED
34,CORIANDER_DRY
35,GREEN_CHILLI
36,CHILLIES_RED
37,MUSTARD
38,PADDYUNHUSKED
39,HILDA
40,CHIKOO
41,COTTON
42,GROUND_NUT_PODS_DRY
43,POMEGRANATE
44,PAPAI
45,MELON
46,BEET_ROOT
47,BOTTLE_GOURD
48,DHEMSE
49,CORIANDER_
50,SPINACH
51,SHEVGA
52,SMALL_GOURD
53,GRAPES
54,KHARBUJ
55,GREEN_GRAM
56,SUNFLOWER
57,SAFFLOWER
58,MANGO
59,WATER_MELON
60,MOSAMBI
61,ORANGE
62,FENUGREEK
63,COWPEA
64,GREEN_PEAS_DRY
65,SQUASH_GOURD
66,MAIZE_CORN
67,CHINO
68,CURRY_LEAVES
69,SWEET_POTATO
70,WALVAD
71,RICE_PADDYHUS
72,CUSTARD_APPLE
73,GREENPEAS
74,BHAGARVARI
75,BOR
76,KARDAI
77,OTHER_VEGETABLES
78,RADISH
79,WAL_PAPDI
80,KANDA_PAT
81,SESAMUM
82,SHEPU
83,GUAVA
84,BANANA
85,CHAVLI_SHENGA_
86,APPLE
87,THYMOLLOVAGE
88,BATBATI
89,OTHER_CEREALS
90,LINSEED
91,PINEAPPLE
92,PUMPKIN
93,METHI_BHAJI
94,NASPATTI_
95,HE_BUFFALO
96,LENTIL
97,RAJGIRA
98,PAPNAS
99,AWALA
100,HARBARA_PENDI
101,BUFFALO
102,JAMBHUL
103,AMBA_KOY
104,BULLOCK_HEART
105,BULLACK
106,FIG
107,WAL_BHAJI
108,SUGARCANE
109,NAGALI
110,RIDGE_GOURD
111,TAG
112,GINGER_DRY
113,ZENDU
114,OTHER_SPICES
115,RALA
116,NIGERSEED
117,INDIAN_BEAN
118,OTHSPLIT_PULSES
119,OTHER_PULSES
120,SARSAV
121,NEEMSEED
122,MALE_LAMB
123,MALE_GOAT
124,SHEEP
125,OTHER_OIL_SEEDS
126,COW
127,SNAKE_GOURD
128,JACK_FRUIT_RAW
129,CHAVLI_PALA
130,RADDISH
131,MULA_SHENGA
132,PAPPAYA_BHAJI
133,PIGENPEA_BHAJI
134,GOATS
135,TURMERIC
136,AMLA
137,SPLIT_GRAM
138,SPLIT_LENTIL
139,SPILT_GERRN_GRAM
140,SPILT_PIGEON_PEA
141,SPLIT_BLACK_GRAM
142,GRNUT_KERNELS
143,PAVTTA
144,WOOD_APPLE
145,STRAWBERI
146,LEAFY_VEGETABLE
147,PEER
148,PLUM
149,HEMPSEED
150,WHEAT_UNHUSKED
151,GUVAR
152,PUNVAD
153,FENNEL
154,COCONUT
155,SUGAR
156,ARVI
157,FRENCH_BEAN
158,ELEPHANT_ROOT
159,CUMMIN
160,CASHEWNUTS
161,BETELNUTS
162,CARDAMOM
163,PITCH
164,LITCHI
165,JACK_FRUIT
166,KAND
167,PARWAR
168,MINT
169,LANG
170,AMBAT_CHUKA
171,KARVAND
172,NOLKOL
173,HEMP
174,BARU_SEED
175,SHEPA
176,SOUP_BERRIES
177,SHAHALE_
178,TANDULJA
179,GHEE
180,FARSHI
181,DOUBLE_BEE
182,BANANA_RAW
183,GOOSEFOOT
184,GHEVDA_SEED
185,PAVATA
186,HARBARA_BHAJI
187,GULCHADI
188,SHEWANTI
189,JUI
190,KAGDA
191,TERDA
192,TULJAPURI
193,BIJLI
194,NACHANI
195,BEDANA
196,FODDER
197,SKIN_BONES
198,ASTER
199,CHANDANI
200,KALVAD
201,SHAHALE
202,GROUNDNUT_PODS_WET
203,JOWAR_HYBRID
204,RAGI_MALDANDI
205,COTTON_LONG_STAPLE
206,SOYABEAN_BLACK
207,BARLI
208,GRAM_YELLOW
209,MASUR_YELLOW
210,TORIA_YELLOW
211,COPRA_MILLING_YELLOW
212,COPRA_BALL_YELLOW
213,JUTE_YELLOW
